KB_Size,Iterations,Is_Blocking,Total_Time,Bandwidth_MBs
1,1000,1,0.002565,380.711427
2,1000,1,0.002121,920.673911
4,1000,1,0.004058,962.606866
8,1000,1,0.005972,1308.269705
16,1000,1,0.007363,2122.213703
32,1000,1,0.008721,3583.195786
64,1000,1,0.011871,5264.994768
128,1000,1,0.017935,6969.724409
256,1000,1,0.033496,7463.643027
512,1000,1,0.063833,7832.985092
1024,1000,1,0.123766,8079.782552
1,1000,0,0.001866,523.466860
2,1000,0,0.001970,991.502962
4,1000,0,0.003443,1134.705563
8,1000,0,0.003836,2036.511490
16,1000,0,0.004669,3346.353235
32,1000,0,0.006205,5036.313837
64,1000,0,0.009395,6652.687862
128,1000,0,0.016480,7584.997022
256,1000,0,0.033321,7502.782782
512,1000,0,0.063675,7852.322686
1024,1000,0,0.123641,8087.920418
2048,1000,0,0.219991,9091.286007
