KB_Size,Iterations,Is_Blocking,Total_Time,Bandwidth_MBs
1,1000,1,0.137996,7.076749
2,1000,1,0.336564,5.803135
4,1000,1,0.329534,11.853860
8,1000,1,0.380106,20.553481
16,1000,1,0.371430,42.067199
32,1000,1,0.557265,56.077469
64,1000,1,1.004917,62.194183
128,1000,1,1.572276,79.502571
256,1000,1,2.540595,98.402134
512,1000,1,4.828310,103.555908
1024,1000,1,9.246074,108.154017
1,1000,0,0.102287,9.547250
2,1000,0,0.362301,5.390892
4,1000,0,0.194773,20.055373
8,1000,0,0.281939,27.709873
16,1000,0,0.363204,43.019845
32,1000,0,0.472952,66.074380
64,1000,0,1.004231,62.236659
128,1000,0,1.570584,79.588240
256,1000,0,2.540476,98.406742
512,1000,0,4.827765,103.567597
1024,1000,0,9.246328,108.151040
2048,1000,0,18.083102,110.600493
